customer_id,first_name,last_name,phone,email,street,city,state,zip_code,extract_date,source
1,Debra,Burks,not-available,debra.burks@yahoo.com,9273 Thorne Ave. ,Orchard Park,NY,14127,2024-04-28 18:21:26.181409,datalake
2,Kasha,Todd,not-available,kasha.todd@yahoo.com,910 Vine Street ,Campbell,CA,95008,2024-04-28 18:21:26.181409,datalake
3,Tameka,Fisher,not-available,tameka.fisher@aol.com,769C Honey Creek St. ,Redondo Beach,CA,90278,2024-04-28 18:21:26.181409,datalake
4,Daryl,Spence,not-available,daryl.spence@aol.com,988 Pearl Lane ,Uniondale,NY,11553,2024-04-28 18:21:26.181409,datalake
5,Charolette,Rice,(916) 381-6003,charolette.rice@msn.com,107 River Dr. ,Sacramento,CA,95820,2024-04-28 18:21:26.181409,datalake
6,Lyndsey,Bean,not-available,lyndsey.bean@hotmail.com,769 West Road ,Fairport,NY,14450,2024-04-28 18:21:26.181409,datalake
7,Latasha,Hays,(716) 986-3359,latasha.hays@hotmail.com,7014 Manor Station Rd. ,Buffalo,NY,14215,2024-04-28 18:21:26.181409,datalake
8,Jacquline,Duncan,not-available,jacquline.duncan@yahoo.com,15 Brown St. ,Jackson Heights,NY,11372,2024-04-28 18:21:26.181409,datalake
9,Genoveva,Baldwin,not-available,genoveva.baldwin@msn.com,8550 Spruce Drive ,Port Washington,NY,11050,2024-04-28 18:21:26.181409,datalake
10,Pamelia,Newman,not-available,pamelia.newman@gmail.com,476 Chestnut Ave. ,Monroe,NY,10950,2024-04-28 18:21:26.181409,datalake
11,Deshawn,Mendoza,not-available,deshawn.mendoza@yahoo.com,8790 Cobblestone Street ,Monsey,NY,10952,2024-04-28 18:21:26.181409,datalake
12,Robby,Sykes,(516) 583-7761,robby.sykes@hotmail.com,486 Rock Maple Street ,Hempstead,NY,11550,2024-04-28 18:21:26.181409,datalake
13,Lashawn,Ortiz,not-available,lashawn.ortiz@msn.com,27 Washington Rd. ,Longview,TX,75604,2024-04-28 18:21:26.181409,datalake
14,Garry,Espinoza,not-available,garry.espinoza@hotmail.com,7858 Rockaway Court ,Forney,TX,75126,2024-04-28 18:21:26.181409,datalake
15,Linnie,Branch,not-available,linnie.branch@gmail.com,314 South Columbia Ave. ,Plattsburgh,NY,12901,2024-04-28 18:21:26.181409,datalake
16,Emmitt,Sanchez,(212) 945-8823,emmitt.sanchez@hotmail.com,461 Squaw Creek Road ,New York,NY,10002,2024-04-28 18:21:26.181409,datalake
17,Caren,Stephens,not-available,caren.stephens@msn.com,914 Brook St. ,Scarsdale,NY,10583,2024-04-28 18:21:26.181409,datalake
18,Georgetta,Hardin,not-available,georgetta.hardin@aol.com,474 Chapel Dr. ,Canandaigua,NY,14424,2024-04-28 18:21:26.181409,datalake
19,Lizzette,Stein,not-available,lizzette.stein@yahoo.com,19 Green Hill Lane ,Orchard Park,NY,14127,2024-04-28 18:21:26.181409,datalake
20,Aleta,Shepard,not-available,aleta.shepard@aol.com,684 Howard St. ,Sugar Land,TX,77478,2024-04-28 18:21:26.181409,datalake
21,Tobie,Little,not-available,tobie.little@gmail.com,10 Silver Spear Dr. ,Victoria,TX,77904,2024-04-28 18:21:26.181409,datalake
22,Adelle,Larsen,not-available,adelle.larsen@gmail.com,683 West Kirkland Dr. ,East Northport,NY,11731,2024-04-28 18:21:26.181409,datalake
23,Kaylee,English,not-available,kaylee.english@msn.com,8786 Fulton Rd. ,Hollis,NY,11423,2024-04-28 18:21:26.181409,datalake
24,Corene,Wall,not-available,corene.wall@msn.com,9601 Ocean Rd. ,Atwater,CA,95301,2024-04-28 18:21:26.181409,datalake
25,Regenia,Vaughan,not-available,regenia.vaughan@gmail.com,44 Stonybrook Street ,Mahopac,NY,10541,2024-04-28 18:21:26.181409,datalake
26,Theo,Reese,(562) 215-2907,theo.reese@gmail.com,8755 W. Wild Horse St. ,Long Beach,NY,11561,2024-04-28 18:21:26.181409,datalake
27,Santos,Valencia,not-available,santos.valencia@yahoo.com,7479 Carpenter Street ,Sunnyside,NY,11104,2024-04-28 18:21:26.181409,datalake
28,Jeanice,Frost,not-available,jeanice.frost@hotmail.com,76 Devon Lane ,Ossining,NY,10562,2024-04-28 18:21:26.181409,datalake
29,Syreeta,Hendricks,not-available,syreeta.hendricks@msn.com,193 Spruce Road ,Mahopac,NY,10541,2024-04-28 18:21:26.181409,datalake
30,Jamaal,Albert,not-available,jamaal.albert@gmail.com,853 Stonybrook Street ,Torrance,CA,90505,2024-04-28 18:21:26.181409,datalake
31,Williemae,Holloway,(510) 246-8375,williemae.holloway@msn.com,69 Cypress St. ,Oakland,CA,94603,2024-04-28 18:21:26.181409,datalake
32,Araceli,Golden,not-available,araceli.golden@msn.com,12 Ridgeview Ave. ,Fullerton,CA,92831,2024-04-28 18:21:26.181409,datalake
33,Deloris,Burke,not-available,deloris.burke@hotmail.com,895 Edgemont Drive ,Palos Verdes Peninsula,CA,90274,2024-04-28 18:21:26.181409,datalake
34,Brittney,Woodward,not-available,brittney.woodward@aol.com,960 River St. ,East Northport,NY,11731,2024-04-28 18:21:26.181409,datalake
35,Guillermina,Noble,not-available,guillermina.noble@msn.com,6 Del Monte Lane ,Baldwinsville,NY,13027,2024-04-28 18:21:26.181409,datalake
36,Bernita,Mcdaniel,not-available,bernita.mcdaniel@hotmail.com,2 Peg Shop Ave. ,Liverpool,NY,13090,2024-04-28 18:21:26.181409,datalake
37,Melia,Brady,not-available,melia.brady@gmail.com,907 Shirley Rd. ,Maspeth,NY,11378,2024-04-28 18:21:26.181409,datalake
38,Zelma,Browning,not-available,zelma.browning@aol.com,296 Second Street ,Astoria,NY,11102,2024-04-28 18:21:26.181409,datalake
39,Janetta,Aguirre,(717) 670-2634,janetta.aguirre@aol.com,214 Second Court ,Lancaster,NY,14086,2024-04-28 18:21:26.181409,datalake
40,Ronna,Butler,not-available,ronna.butler@gmail.com,9438 Plymouth Court ,Encino,CA,91316,2024-04-28 18:21:26.181409,datalake
41,Kathie,Freeman,not-available,kathie.freeman@msn.com,667 Temple Dr. ,Queensbury,NY,12804,2024-04-28 18:21:26.181409,datalake
42,Tangela,Quinn,not-available,tangela.quinn@aol.com,4 S. Purple Finch Road ,Richmond Hill,NY,11418,2024-04-28 18:21:26.181409,datalake
43,Mozelle,Carter,(281) 489-9656,mozelle.carter@aol.com,895 Chestnut Ave. ,Houston,TX,77016,2024-04-28 18:21:26.181409,datalake
44,Onita,Johns,not-available,onita.johns@msn.com,32 Glen Creek Lane ,Elmont,NY,11003,2024-04-28 18:21:26.181409,datalake
45,Bennett,Armstrong,not-available,bennett.armstrong@aol.com,688 Walnut Street ,Bethpage,NY,11714,2024-04-28 18:21:26.181409,datalake
46,Monika,Berg,not-available,monika.berg@gmail.com,369 Vernon Dr. ,Encino,CA,91316,2024-04-28 18:21:26.181409,datalake
47,Bridgette,Guerra,not-available,bridgette.guerra@hotmail.com,9982 Manor Drive ,San Lorenzo,CA,94580,2024-04-28 18:21:26.181409,datalake
48,Cesar,Jackson,not-available,cesar.jackson@gmail.com,8068 N. Griffin Ave. ,Liverpool,NY,13090,2024-04-28 18:21:26.181409,datalake
49,Caroll,Hays,not-available,caroll.hays@yahoo.com,9381 Wrangler St. ,Fairport,NY,14450,2024-04-28 18:21:26.181409,datalake
50,Cleotilde,Booth,not-available,cleotilde.booth@gmail.com,17 Corona St. ,Sugar Land,TX,77478,2024-04-28 18:21:26.181409,datalake
51,Gertrud,Rhodes,not-available,gertrud.rhodes@aol.com,9961 Meadowbrook Street ,Merrick,NY,11566,2024-04-28 18:21:26.181409,datalake
52,Tu,Ramirez,not-available,tu.ramirez@hotmail.com,24 W. Courtland Street ,East Elmhurst,NY,11369,2024-04-28 18:21:26.181409,datalake
53,Saturnina,Garner,not-available,saturnina.garner@gmail.com,8538 Fairground St. ,Glendora,CA,91740,2024-04-28 18:21:26.181409,datalake
54,Fran,Yang,not-available,fran.yang@hotmail.com,440 Pearl St. ,Utica,NY,13501,2024-04-28 18:21:26.181409,datalake
55,Diana,Guerra,not-available,diana.guerra@hotmail.com,45 Chapel Ave. ,Merrick,NY,11566,2024-04-28 18:21:26.181409,datalake
56,Lolita,Mosley,(281) 363-3309,lolita.mosley@hotmail.com,376 S. High Ridge St. ,Houston,TX,77016,2024-04-28 18:21:26.181409,datalake
57,Pamala,Henry,not-available,pamala.henry@aol.com,197 Bridgeton Ave. ,Bronx,NY,10451,2024-04-28 18:21:26.181409,datalake
58,Damien,Dorsey,not-available,damien.dorsey@yahoo.com,161 Old York Street ,Central Islip,NY,11722,2024-04-28 18:21:26.181409,datalake
